# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 73685225.980 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.001; fsl: 0.001; fch4: 0.022; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	1.164	3.000	0.030
1993	1.052	3.000	0.030
1994	0.690	3.000	0.030
1995	0.481	3.000	0.020
1996	0.354	3.000	0.030
1997	0.290	3.000	0.060
1998	0.239	3.000	0.030
1999	0.243	3.000	0.040
2000	0.238	3.000	0.030
2001	0.210	3.000	0.040
2002	0.195	3.000	0.030
2003	0.173	3.000	0.040
2004	0.171	3.000	0.030
2005	0.163	3.000	0.030
2006	0.137	3.000	0.040
2007	0.129	3.000	0.030
2008	0.129	3.000	0.030
2009	0.116	3.000	0.030
2010	0.094	3.000	0.040
2011	0.069	3.000	0.030
2012	0.045	3.000	0.040
2013	0.027	3.000	0.040
2014	0.014	3.000	0.040
