# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 73685225.980 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.001; fsl: 0.001; fch4: 0.022; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	0.873	3.000	0.030
1993	0.789	3.000	0.030
1994	0.518	3.000	0.030
1995	0.361	3.000	0.020
1996	0.265	3.000	0.030
1997	0.217	3.000	0.060
1998	0.180	3.000	0.030
1999	0.182	3.000	0.040
2000	0.179	3.000	0.030
2001	0.157	3.000	0.040
2002	0.146	3.000	0.030
2003	0.130	3.000	0.040
2004	0.128	3.000	0.030
2005	0.122	3.000	0.030
2006	0.103	3.000	0.040
2007	0.097	3.000	0.030
2008	0.097	3.000	0.030
2009	0.087	3.000	0.030
2010	0.071	3.000	0.040
2011	0.051	3.000	0.030
2012	0.034	3.000	0.040
2013	0.020	3.000	0.040
2014	0.011	3.000	0.040
