# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 73685225.980 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.001; fsl: 0.001; fch4: 0.022; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	0.146	3.000	0.030
1993	0.132	3.000	0.030
1994	0.086	3.000	0.030
1995	0.060	3.000	0.020
1996	0.044	3.000	0.030
1997	0.036	3.000	0.060
1998	0.030	3.000	0.030
1999	0.030	3.000	0.040
2000	0.030	3.000	0.030
2001	0.026	3.000	0.040
2002	0.024	3.000	0.030
2003	0.022	3.000	0.040
2004	0.021	3.000	0.030
2005	0.020	3.000	0.030
2006	0.017	3.000	0.040
2007	0.016	3.000	0.030
2008	0.016	3.000	0.030
2009	0.015	3.000	0.030
2010	0.012	3.000	0.040
2011	0.009	3.000	0.030
2012	0.006	3.000	0.040
2013	0.003	3.000	0.040
2014	0.002	3.000	0.040
