# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 73685225.980 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.001; fsl: 0.001; fch4: 0.022; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	0.728	3.000	0.030
1993	0.658	3.000	0.030
1994	0.431	3.000	0.030
1995	0.301	3.000	0.020
1996	0.221	3.000	0.030
1997	0.181	3.000	0.060
1998	0.150	3.000	0.030
1999	0.152	3.000	0.040
2000	0.149	3.000	0.030
2001	0.131	3.000	0.040
2002	0.122	3.000	0.030
2003	0.108	3.000	0.040
2004	0.107	3.000	0.030
2005	0.102	3.000	0.030
2006	0.086	3.000	0.040
2007	0.081	3.000	0.030
2008	0.081	3.000	0.030
2009	0.073	3.000	0.030
2010	0.059	3.000	0.040
2011	0.043	3.000	0.030
2012	0.028	3.000	0.040
2013	0.017	3.000	0.040
2014	0.009	3.000	0.040
