# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 73685225.980 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.001; fsl: 0.001; fch4: 0.022; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	0.437	3.000	0.030
1993	0.395	3.000	0.030
1994	0.259	3.000	0.030
1995	0.180	3.000	0.020
1996	0.133	3.000	0.030
1997	0.109	3.000	0.060
1998	0.090	3.000	0.030
1999	0.091	3.000	0.040
2000	0.089	3.000	0.030
2001	0.079	3.000	0.040
2002	0.073	3.000	0.030
2003	0.065	3.000	0.040
2004	0.064	3.000	0.030
2005	0.061	3.000	0.030
2006	0.051	3.000	0.040
2007	0.048	3.000	0.030
2008	0.048	3.000	0.030
2009	0.044	3.000	0.030
2010	0.035	3.000	0.040
2011	0.026	3.000	0.030
2012	0.017	3.000	0.040
2013	0.010	3.000	0.040
2014	0.005	3.000	0.040
