# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 73685225.980 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.001; fsl: 0.001; fch4: 0.022; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	1.310	3.000	0.030
1993	1.184	3.000	0.030
1994	0.776	3.000	0.030
1995	0.541	3.000	0.020
1996	0.398	3.000	0.030
1997	0.326	3.000	0.060
1998	0.269	3.000	0.030
1999	0.273	3.000	0.040
2000	0.268	3.000	0.030
2001	0.236	3.000	0.040
2002	0.219	3.000	0.030
2003	0.195	3.000	0.040
2004	0.192	3.000	0.030
2005	0.184	3.000	0.030
2006	0.154	3.000	0.040
2007	0.145	3.000	0.030
2008	0.145	3.000	0.030
2009	0.131	3.000	0.030
2010	0.106	3.000	0.040
2011	0.077	3.000	0.030
2012	0.051	3.000	0.040
2013	0.030	3.000	0.040
2014	0.016	3.000	0.040
