# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 73685225.980 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.001; fsl: 0.001; fch4: 0.022; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	1.019	3.000	0.030
1993	0.921	3.000	0.030
1994	0.604	3.000	0.030
1995	0.421	3.000	0.020
1996	0.310	3.000	0.030
1997	0.254	3.000	0.060
1998	0.210	3.000	0.030
1999	0.212	3.000	0.040
2000	0.209	3.000	0.030
2001	0.184	3.000	0.040
2002	0.171	3.000	0.030
2003	0.152	3.000	0.040
2004	0.149	3.000	0.030
2005	0.143	3.000	0.030
2006	0.120	3.000	0.040
2007	0.113	3.000	0.030
2008	0.113	3.000	0.030
2009	0.102	3.000	0.030
2010	0.082	3.000	0.040
2011	0.060	3.000	0.030
2012	0.039	3.000	0.040
2013	0.023	3.000	0.040
2014	0.012	3.000	0.040
