# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 73685225.980 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.001; fsl: 0.001; fch4: 0.022; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	0.582	3.000	0.030
1993	0.526	3.000	0.030
1994	0.345	3.000	0.030
1995	0.241	3.000	0.020
1996	0.177	3.000	0.030
1997	0.145	3.000	0.060
1998	0.120	3.000	0.030
1999	0.121	3.000	0.040
2000	0.119	3.000	0.030
2001	0.105	3.000	0.040
2002	0.097	3.000	0.030
2003	0.087	3.000	0.040
2004	0.085	3.000	0.030
2005	0.082	3.000	0.030
2006	0.068	3.000	0.040
2007	0.065	3.000	0.030
2008	0.065	3.000	0.030
2009	0.058	3.000	0.030
2010	0.047	3.000	0.040
2011	0.034	3.000	0.030
2012	0.023	3.000	0.040
2013	0.013	3.000	0.040
2014	0.007	3.000	0.040
